ID,Location,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,WY Tota,Pct Avg to Date,
4LW,LAKEVIEW,1.24,0.51,0.34,1.7,0.35,1.76,2,1.28,0.58,0.01,0.05,0.01,9.83,64,64
ADNC1,ADIN,0.39,0.85,0.18,1.7,0.91,2.06,2.09,1.19,0.56,0,0.01,0,9.94,63,63
ALTC1,ALTURAS,M,0.72,0.1,0.81,0.97,1.1,1.64,M,M,0,0.06,M,M,,
AUBC1,AUBURN,2.9,0.84,0.03,M,1.81,10.15,6.47,0.09,0.21,0.03,0,0,M,,
BLU,BLUE CANYON,M,M,M,M,M,M,M,M,M,M,M,M,M,,
BNYC1,BURNEY,1.64,1.1,0.19,3.38,0.94,5.43,3.33,1,0.81,0.01,0.04,0,17.87,66,66
BODC1,BOWMAN DAM,6.33,4.55,0.32,7.28,3.59,21.46,9.74,0.56,2.5,0.52,0.06,0.02,56.93,83,83
BRRC1,BRUSH CREEK RS,M,M,M,M,M,M,M,M,M,M,M,M,M,,
BUCC1,BUCKS CREEK,4.21,2.59,0.33,7.25,3.62,18.52,8.98,0.62,1.01,M,M,0,M,,
BUKC1,BUCKHORN,5.93,4.72,1.16,7.75,2.69,16.78,6.26,2.33,3.02,0.33,0.09,0,51.06,77,77
CANC1,CANYON DAM,2.45,1.52,0.13,5.3,2.44,10.23,4.97,0.24,0.87,0,0,0,28.15,74,74
CBYC1,CANBY 3SW,M,M,M,M,M,M,M,M,M,M,M,M,M,,
CHAC1,CHALLENGE RS,M,M,M,M,M,M,M,M,M,M,M,M,M,,
CHEC1,CHESTER,2.28,1.15,0.47,4.33,1.25,10.47,4.47,0.4,0.65,0,0.02,0,25.49,77,77
CHUC1,CHICO UNIVERSITY FARM,2.05,1.59,0,5.07,0.96,5,2.35,0,0.23,0,0,0,17.25,66,66
CLGC1,COLGATE PH,3.62,1.26,0.15,5.58,2.53,13.89,5.57,0.13,0.46,0.01,0.02,0.03,33.25,80,80
COFC1,COLFAX,3.01,1.78,0.11,6.29,3.54,17.34,6.06,0.37,0.62,0.05,M,M,M,,
DAVC1,DAVIS EXPERIMENTAL FARM,1.18,1.22,0.4,3.05,0.87,4.06,2.01,0,0.04,0,M,M,M,,
DESC1,DE SABLA,4.81,2.96,0.44,9.22,3.8,18.64,6.76,0.13,0.96,M,M,0,M,,
DUNC1,DUNSMUIR,2.71,5.65,1.71,8.87,3.88,18.11,7.7,1,2.02,0,0,0,51.65,83,83
DWNC1,DOWNIEVILLE,4.94,3.47,0.3,8.41,4.19,20.18,8.51,0.41,1.63,0.09,0.05,M,M,,
FSTC1,FORESTHILL RS,4.93,1.98,0.13,7.68,3.46,13.59,7.73,0.17,1.07,M,0,0.29,M,,
GEOC1,GEORGETOWN RS,4.27,2.36,0.13,7.7,2.99,22.07,6.85,0.24,0.14,0.22,0.01,0.03,47.01,87,87
GLRC1,GOLD RUN 2SW,4.98,2.71,0.13,9.68,3.53,17.03,9.56,0.52,1.27,0,0.03,M,M,,
GRAC1,GRASS VALLEY NO. 2,4.2,1.99,0.17,7.37,4.11,17.86,8.79,0.41,1.73,0.03,0.05,0,46.71,88,88
GREC1,GREENVILLE RS,M,M,M,M,M,M,M,M,M,M,0.03,M,M,,
HATC1,HAT CREEK,1.18,0.85,0.08,1.29,0.87,2.9,2.78,1.37,1.68,0,M,0,M,,
HLEC1,HARRY L ENGLEBRIGHT DAM,1.61,1.17,0.13,4.01,2.02,9.96,4.79,0.34,0.2,0,0,0,24.23,69,69
HRRC1,HARRISON GULCH RS,M,M,M,M,M,M,M,M,M,M,M,M,M,,
LSPC1,LAKE SPAULDING,5.39,3.9,0.29,9.82,5.93,23.21,9.72,0.92,1.72,0.68,0.24,M,M,,
MCLC1,MCCLOUD,2.4,4.16,0.42,6.31,3.22,13.52,8.4,1.04,1.48,0.35,1,0,42.3,86,86
MHS,MT. SHASTA,2.27,3.46,0.46,6.03,2.81,12.31,5.75,0.64,1.92,0.08,0.03,0,35.76,90,90
MINC1,MINERAL,3.53,2.97,0.58,6.68,2.49,12.83,7.5,0.65,0.17,0,0.02,0,37.42,67,67
MNZC1,MANZANITA LAKE,1.88,3.23,0.56,5.08,1.17,8.26,4.5,2.46,1.2,0,0,0,28.34,69,69
NCOC1,NICOLAUS,1.43,0.93,0.1,3.55,0.81,4.47,2.24,0.02,M,M,M,M,M,,
NVDC1,NEVADA CITY,4.9,3.02,0.24,9.2,3.74,20.92,10.67,0.9,2.3,0.1,0,M,M,,
ONDC1,ORLAND,1.84,2.68,0.07,3.62,0.86,3.38,1.67,0,0.07,0,0,0,14.19,65,65
PCHC1,PACIFIC HOUSE,4.46,2.42,0.05,7.77,2.71,13.68,7.94,0.62,1.44,0.51,0.07,0.13,41.8,81,81
PLCC1,PLACERVILLE,4.66,1.71,0.06,5.97,2.67,12.18,5.31,0.11,0.74,0.71,M,0.14,M,,
PLUC1,PLUMAS EUREKA SP,4.4,2.6,0.7,7.73,4.04,17.21,7.63,1.05,1.87,0.24,0.01,0,47.48,73,73
PRAC1,PORTOLA,1.29,1.7,0.07,2.83,1.12,5.9,2.88,0.72,0.7,0.26,0,0,17.47,76,76
PRDC1,PARADISE,4.88,2.39,0.3,10.07,3.35,13.7,5.47,0.08,0.53,0,0,0,40.77,73,73
PRPC1,PIT RIVER PH5,4.66,3.46,1.2,7.17,M,24.1,6.33,1.87,2.26,M,0.08,0,M,,
PTRC1,PIT RIVER PH1,0.81,M,0.03,1.96,0.66,2.35,1.29,0.93,0.35,0,M,M,M,,
QCYC1,QUINCY,3.15,1.5,0.15,5.33,2.23,13.82,5.79,0.31,0.65,0,0.08,0,33.01,87,87
RBL,RED BLUFF AP,1.79,2.96,0.07,4.39,1.87,4.54,1.48,0.88,0.18,0,0,0,18.16,75,75
ROMC1,ROUND MOUNTAIN,M,M,M,M,M,M,M,M,M,M,M,M,M,,
SAC,SACRAMENTO AP,1.33,0.74,0.27,2.43,0.92,4.06,2.42,0,0.03,0.03,0,0,12.23,68,68
SERC1,SIERRAVILLE,1.7,0.79,0,M,1.32,5.84,2.62,0.47,0.52,0.5,0.08,0.14,M,,
SHDC1,SHASTA DAM,3.99,3.59,0.69,7.6,2.85,19.28,5.33,0.6,0.49,0.06,0.3,0,44.78,71,71
SLPC1,SLY PARK,3.47,2.04,0.03,6.84,1.67,13.48,7.69,0.27,0.02,0,0,0,35.51,NA,NA
SMTC1,SACRAMENTO 5 ESE,1.72,0.87,0.07,2.52,0.94,4.45,2.65,0,0.01,0,0,0,13.23,67,67
SODC1,SODA SPRINGS,4.72,3.5,0.24,7.68,4.37,15.1,5.94,0.24,1.46,0.5,0.31,0.2,44.26,NA,NA
STOC1,STONY GORGE,1.32,1.98,0.06,3.41,1.29,2.91,1.31,0.03,0,0,0.02,0,12.33,58,58
STYC1,STRAWBERRY VALLEY,5.89,3.56,0.79,10.77,4.48,23.77,11.69,0.32,1.43,0.03,0.09,0,62.82,78,78
TWLC1,CAPLES LAKE,3.25,1.27,0.09,5.09,2.22,6.45,3.78,1.11,1.08,0.07,1.36,0.08,25.85,56,56
VOLC1,VOLTA PH,3.3,2.32,0.59,5.65,2,5.12,2.51,1.1,1.33,0,0,0,23.92,68,68
VTNC1,VINTON,0.98,0.48,0,2.25,0.51,3.44,0.84,0.29,0.49,0.83,0.06,0.12,10.29,73,73
WDDC1,WOODLAND,0.95,1.13,0.28,3.37,0.9,4.24,2.12,M,M,M,M,M,M,,
WSKC1,WHISKEYTOWN RES,M,M,0.42,9.11,3.27,19.19,4.42,1.12,1.2,0,0,0,M,,
ABYC1,AUBERRY,1.69,1.37,0,4.64,1.32,4.92,3.73,0,0.07,0,M,0,M,,
ARNC1,CALAVERAS BIG TREES,3.88,1.82,0.02,8.58,3.16,9.28,5.11,0.3,1.34,0,0,0.21,33.7,61,61
BCRC1,BIG CREEK PH #1,M,1.18,0,M,M,4.11,4.05,0.15,M,M,M,M,M,,
CHVC1,CHERRY VALLEY,3.12,1.77,0,9.54,2.68,7.22,6.06,0.24,0.95,0.06,0.2,0.15,31.99,67,67
CMPC1,CAMP PARDEE,2.08,0.87,0.06,2.68,1.34,6.1,4.37,0.07,0.31,0.03,M,0.13,M,,
EXQC1,EXCHEQUER DAM,1.21,0.73,0,2.47,1.03,4.47,3.62,0,0.27,0.01,0,0.08,13.89,70,70
FDDC1,FIDDLETOWN DEXTER RANCH,2.85,1.89,0.1,4.31,1.79,9.28,6.8,0.07,0.44,0.37,0,0.29,28.19,76,76
FLOC1,FLORENCE LAKE,1.94,1.69,0,2.98,0.66,3.88,1.18,0.13,M,0,M,M,M,,
FRAC1,FRIANT GOVERNMENT CAMP,1.26,1.07,0,1.25,0.78,3.17,2.04,0.01,0,0,0.02,0,9.6,65,65
GRVC1,GROVELAND RS,M,M,0,M,1.68,M,4.48,M,M,M,M,M,M,,
HETC1,HETCH HETCHY,2.34,1.82,0,5.48,1.26,5.44,4.16,0.04,0.79,0,0.15,0,21.48,59,59
HNTC1,HUNTINGTON LAKE,M,0.88,0,5.32,M,6.76,4.92,0.24,0.24,0,1.23,0,M,,
LOSC1,LOS BANOS,0.64,0.88,0.12,0.33,0.1,1.54,0.9,0,0.26,0,0,0.03,4.8,48,48
MATC1,MATHER,M,M,M,M,M,M,M,M,M,M,M,M,M,,
MCEC1,MERCED,1.07,1.06,0.1,0.87,0.65,1.89,M,0.02,0.5,0,0,0.04,M,,
MDRC1,MADERA,0.72,0.89,0.08,0.86,0.46,M,2.61,0,0.12,0,0,0,M,,
MOD,MODESTO AP,1,0.74,0.16,0.94,0.75,2.62,2.25,0.19,0.1,0,0,0,8.75,67,67
